Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC_DELTA,0.1,1.0,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.6695542672139699,0.1968963623046875,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,1.0,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.4587283039713735,0.3536177635192871,132.8,0.0,130.8,0.0
MFCC_DELTA,1.0,0.001,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6675803063950914,0.6381651878356933,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,0.001,rbf,0.623660559972347,0.6264267297686547,0.6203577124629757,0.6229637248708718,0.6724440257746807,0.3085801601409912,82.4,82.0,48.8,50.4
MFCC_DELTA,1.0,0.01,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6679725872092284,0.6222175121307373,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,0.01,rbf,0.6464252794100702,0.6376651002146271,0.6912166780587834,0.6630463185153795,0.6959516919400407,0.29618186950683595,91.8,78.6,52.2,41.0
MFCC_DELTA,1.0,0.1,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6677242404040313,0.6199151992797851,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,0.1,rbf,0.6175970733955525,0.6296518440337402,0.5858282068808385,0.6066140266581539,0.6806703073275995,0.3420852184295654,77.8,85.0,45.8,55.0
MFCC_DELTA,1.0,1.0,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6675345285489921,0.6192967414855957,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,1.0,rbf,0.5045512155778316,0.5042001482420313,0.9954887218045112,0.6693637136664635,0.4697700551758407,0.36629223823547363,132.2,0.8,130.0,0.6
MFCC_DELTA,10.0,0.001,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.6694394402972146,5.826042747497558,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,0.001,rbf,0.6335004032722663,0.6283578311793085,0.6670653907496013,0.6466556265076033,0.6826215193672004,0.30306472778320315,88.6,78.4,52.4,44.2
MFCC_DELTA,10.0,0.01,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.6694385552842765,4.330474328994751,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,0.01,rbf,0.6244181357299228,0.624378441607764,0.643028024606972,0.63255896144281,0.6769790909505654,0.24740266799926758,85.4,79.2,51.6,47.4
MFCC_DELTA,10.0,0.1,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.668451057446638,4.206359720230102,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,0.1,rbf,0.6153185850904482,0.6308167959121349,0.5707678286625655,0.5989012667874393,0.662558851353548,0.2809142112731934,75.8,86.4,44.4,57.0
MFCC_DELTA,10.0,1.0,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.66949528575081,4.203016471862793,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,1.0,rbf,0.5068297038829358,0.5053614318311036,0.9954887218045112,0.6703841219638799,0.4925720288817919,0.2795369625091553,132.2,1.4,129.4,0.6
MFCC_DELTA,100.0,0.001,linear,0.6312651227099896,0.6299250830861379,0.6505468215994532,0.6392785070835648,0.6664976178234514,42.45453233718872,86.4,80.0,50.8,46.4
MFCC_DELTA,100.0,0.001,rbf,0.6274513192764143,0.6248330447769732,0.6520733652312599,0.6373858044551614,0.6737889123063892,0.25520873069763184,86.6,78.8,52.0,46.2
MFCC_DELTA,100.0,0.01,linear,0.6312651227099896,0.6299250830861379,0.6505468215994532,0.6392785070835648,0.6693494298657015,45.791176319122314,86.4,80.0,50.8,46.4
MFCC_DELTA,100.0,0.01,rbf,0.5826765756423551,0.5840862627781294,0.5993506493506493,0.5913997180451871,0.612355083646767,0.4458763122558594,79.6,74.0,56.8,53.2
MFCC_DELTA,100.0,0.1,linear,0.6312651227099896,0.6299250830861379,0.6505468215994532,0.6392785070835648,0.6690678559421025,40.85584955215454,86.4,80.0,50.8,46.4
MFCC_DELTA,100.0,0.1,rbf,0.6160732803318354,0.6324497948640035,0.5692640692640693,0.5986335580628865,0.6599631926932048,0.2823420524597168,75.6,86.8,44.0,57.2
MFCC_DELTA,100.0,1.0,linear,0.6312651227099896,0.6299250830861379,0.6505468215994532,0.6392785070835648,0.6694024717749104,41.18398714065552,86.4,80.0,50.8,46.4
MFCC_DELTA,100.0,1.0,rbf,0.5068297038829358,0.5053614318311036,0.9954887218045112,0.6703841219638799,0.4955424594155008,0.2741551876068115,132.2,1.4,129.4,0.6
